name,event,place,all_american,min,max,mean,std,median,q1,q3,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,grade,year,school,score
COURTNEY LINDSEY,200,8,1,0.9274611398963732,0.9939424533064112,0.956061152531382,0.0183461907638839,0.957684824902724,0.9382935688816768,0.970911074974324,0.956061152531382,0.9747524752475248,0.9302404131489328,0.0193610843089441,0.0273771064523681,0.0416666666666666,24,JR,3,TEXAS TECH,0.7083333333333333
ERIC HARRISON,200,9,0,0.9287735849056604,0.9786282306163022,0.955307159833932,0.0126531401144177,0.9532828146688987,0.946066434899288,0.9655511039629192,0.955307159833932,0.9728260869565218,0.9346728279177886,0.0181719050296461,0.021835503073966,0.0,30,SR,4,OHIO STATE,0.6666666666666667
EVAN MILLER,200,10,0,0.9145378541569904,0.9675675675675676,0.9456466541121036,0.0138574975172423,0.9448196162740125,0.939520818781838,0.9568704105018632,0.9456466541121036,0.9623655913978496,0.9198224399872884,0.0175249790194898,0.0276865633491319,0.0666666666666666,30,JR,3,SOUTH CAROLINA,0.625
LAWRENCE JOHNSON,200,11,0,0.920954162768943,0.9647231749142576,0.9451131802037064,0.0162074261682816,0.9419084369131944,0.932297326008438,0.9603717561419992,0.9451131802037066,0.9609565641776476,0.9273377265180494,0.0166241387762894,0.018986296112594,0.0,10,JR,3,WISCONSIN,0.5833333333333333
ALABA AKINTOLA,200,12,0,0.9162401116798512,0.9718657453109576,0.9509483791119168,0.0174668018917478,0.9500895666807292,0.9432336953527072,0.9661460636142392,0.9509483791119168,0.9670923379174854,0.9316947588054136,0.0168338019753532,0.0204538182714778,0.0,10,JR,3,MID. TENN. STATE,0.5416666666666667
KASAUN JAMES,200,13,0,0.942556247008138,0.976686507936508,0.9579332155997924,0.0109087372983275,0.9586230125404996,0.950404289144632,0.9665000471666784,0.9579332155997924,0.9680432645034416,0.9436117177474438,0.0104986213571075,0.0150630128178341,0.0,14,SR,4,USC,0.5
DAVID DUNLAP,200,14,0,0.9036255162918772,0.965669445806768,0.9361485276940694,0.0199914188972957,0.938512869399428,0.9194490344791192,0.9509794110703986,0.9361485276940694,0.9600195026816188,0.9069635304635998,0.0251781219861825,0.0316692597189584,0.0,19,SR,4,NORTHERN ARIZONA,0.45833333333333337
WANYA MCCOY,200,15,0,0.9218164794007492,0.96142578125,0.9513879794013964,0.013994392270243,0.9581508515815086,0.9496088033322077,0.9595525684565512,0.9513879794013964,0.9586173320350536,0.9403446953550548,0.0075699817067211,0.0116753114155131,0.0,7,FR,1,CLEMSON,0.41666666666666663
LANCE LANG,200,16,0,0.9213851193261582,0.981555333998006,0.9593894461116732,0.0142147409499332,0.9590851771315636,0.9545510055934476,0.966736614889806,0.9593894461116732,0.9718657453109576,0.9365546751867838,0.0129204045686927,0.0240880210216857,0.0,18,SO,2,KENTUCKY,0.375
ISMAEL KONE,200,17,0,0.9119962945808244,0.9699507389162562,0.9461036819024256,0.0177286085537351,0.945271243398944,0.9394083969465647,0.9562894609033512,0.9461036819024252,0.9670923379174854,0.9212942886302036,0.0219409363155958,0.0265710830403715,0.0,13,SO,2,NEW ORLEANS,0.33333333333333337
DORIAN CAMEL,200,18,0,0.9077916090364224,0.9845,0.941048005240448,0.0208345406182826,0.9376190476190476,0.9278984153041508,0.957454754822448,0.941048005240448,0.9637787567302988,0.9103132523948568,0.0238664764099947,0.0332023290633701,0.0,19,JR,3,LSU,0.29166666666666663
TINOTENDA MATIYENGA,200,19,0,0.93096926713948,0.9699507389162562,0.947057929429768,0.0091494163074358,0.9470899470899472,0.9405315538056592,0.9532801333242702,0.947057929429768,0.956754130223518,0.9317037944679584,0.0101860903176714,0.0163449518547305,0.0,31,SR,4,TCU,0.25
JOSEPH MANU,200,20,0,0.894593366651522,0.964250734573947,0.9301051803579976,0.0213921127946993,0.9289939794411473,0.9136914604651644,0.9448700724261327,0.9301051803579976,0.9581508515815086,0.9047937567562562,0.0297053691333417,0.0275889021349029,0.0,14,SR,4,COPPIN STATE,0.20833333333333337
DEMARIUS SMITH,200,21,0,0.3629493087557603,0.9825349301397208,0.914219113795525,0.1121614077611753,0.93717277486911,0.922475666336116,0.9480039036421632,0.9142191137955252,0.9600195026816188,0.7199647935046071,0.0488735943048499,0.2377386283430602,0.0,27,SR,4,OKLAHOMA,0.16666666666666663
JEREMIAH CURRY,200,22,0,0.8382290336313326,0.9661432777232584,0.9295374546090032,0.0297477047158631,0.933175355450237,0.920954162768943,0.9443645083932852,0.9295374546090032,0.9647231749142576,0.8750307317162168,0.0371498195727267,0.0604097127565821,0.0,21,JR,3,STEPHEN F. AUSTIN,0.125
EDWARD SUMLER IV,200,23,0,0.901969766376546,0.9651960784313728,0.9348062563774796,0.0148015342858041,0.9336178283546706,0.923979352416706,0.9439117929050816,0.9348062563774796,0.9590842669264492,0.9117682297033416,0.0256382407010687,0.0249521769609562,0.0333333333333333,30,JR,3,HOUSTON,0.08333333333333337
JAVONTE HARDING,200,24,0,0.7634742148119427,0.9781420765027324,0.9536605540375488,0.0513743638737309,0.9668563551551048,0.9617790692187916,0.9717480141941566,0.9536605540375488,0.9742701632855022,0.888335662441853,0.0213800309967257,0.0709283667482781,0.0588235294117647,17,SO,2,N. CAROLINA A&T,0.04166666666666663
