name,all_american,event,place
SONDRE GUTTORMSEN,1,PV,1
CLAYTON FRITSCH,1,PV,2
KEATON DANIEL,1,PV,3
SIMEN GUTTORMSEN,1,PV,4
BRANSON ELLIS,1,PV,5
ZACH MCWHORTER,1,PV,6
CLAYTON SIMMS,1,PV,7
KYLE RADEMEYER,1,PV,8
ZACH BRADFORD,0,PV,9
TREVOR STEPHENSON,0,PV,10
CALEB WITSKEN,0,PV,11
ANTONIO RUIZ,0,PV,12
EERIK HAAMER,0,PV,13
COLE RIDDLE,0,PV,14
ROBERT OSWALD,0,PV,14
SEAN ROTH,0,PV,16
JACOB ENGLAR,0,PV,17
ALEXANDER SLINKMAN,0,PV,18
ERICK DUFFY,0,PV,18
COLBY WILSON,0,PV,20
MAX MANSON,0,PV,21
WYATT LEFKER,0,PV,22
JAMES COURSON,0,PV,
HUNTER GARRETSON,0,PV,
WAYNE PINNOCK,1,LJ,1
JEREMIAH DAVIS,1,LJ,2
ISAAC GRIMES,1,LJ,3
CAREY MCLEOD,1,LJ,4
BRANDON HICKLIN,1,LJ,5
A'NAN BRIDGETT,1,LJ,6
STACY BROWN JR,1,LJ,7
ANTHONY RILEY,1,LJ,8
CAMERON CRUMP,0,LJ,9
JAMES CARTER,0,LJ,10
JEREMIAH WILLIS,0,LJ,11
KENSON TATE,0,LJ,12
JASON SMITH,0,LJ,13
TREYSHON MALONE,0,LJ,14
ISAIAH HOLMES,0,LJ,15
KAREEM MERSAL,0,LJ,16
JOHNNY BRACKINS,0,LJ,17
REINALDO RODRIGUES,0,LJ,18
GABRIEL BINION,0,LJ,19
SAFIN WILLS,0,LJ,20
AARON JOHNSON,0,LJ,21
CHRISTIAAN LE ROUX,0,LJ,22
RUSSELL ROBINSON,0,LJ,23
RYAN BROWN,0,LJ,24
CHENGETAYI MAPAYA,1,TJ,1
EMMANUEL IHEMEJE,1,TJ,2
APALOS EDWARDS,1,TJ,3
KEYSHAWN KING,1,TJ,4
GEORGI NACHEV,1,TJ,5
CHRIS WELCH,1,TJ,6
JEREMIAH DAVIS,1,TJ,7
NATHAN CRAWFORD-WALLIS,1,TJ,8
JALEN TATE,0,TJ,9
JEMUEL MILLER,0,TJ,10
R'LAZON BRUMFIELD,0,TJ,11
SALIF MANE,0,TJ,12
JASON SMITH,0,TJ,13
SEAN DIXON-BODIE,0,TJ,14
SAFIN WILLS,0,TJ,15
RUSSELL ROBINSON,0,TJ,16
CHAUNCEY CHAMBERS,0,TJ,17
JALEN SEALS,0,TJ,18
OWAYNE OWENS,0,TJ,19
DANIEL FALODE,0,TJ,20
STACY BROWN JR,0,TJ,21
JAMES CARTER,0,TJ,22
JAREN HOLMES,0,TJ,23
JACORE IRVING,0,TJ,24
ADRIAN PIPERI,1,SP,1
TURNER WASHINGTON,1,SP,2
ISAAC ODUGBESAN,1,SP,3
JORDAN WEST,1,SP,4
DARIUS KING,1,SP,5
LOGAN CALVIN,1,SP,6
HAYDEN TOBIAS,1,SP,7
NIKOLAS CURTISS,1,SP,8
JOSH SOBOTA,0,SP,9
JOSH JOHNSON,0,SP,10
JOHN MEYER,0,SP,11
JALIL BREWER,0,SP,12
CHRISTOPHER LICATA,0,SP,13
COOPER CAMPBELL,0,SP,14
BURGER LAMBRECHTS JR.,0,SP,15
DIEGO TREVINO,0,SP,16
DANIEL VIVEROS,0,SP,17
MAXWELL OTTERDAHL,0,SP,18
MICHAEL SHOAF,0,SP,19
JOHN STEFAN,0,SP,20
BRYCE FOSTER,0,SP,21
DYLAN TARGGART,0,SP,22
DJIMON GUMBS,0,SP,23
SANTIAGO BASSO,0,SP,
CLAUDIO ROMERO,1,DT,1
MYKOLAS ALEKNA,1,DT,2
RALFORD MULLINGS,1,DT,3
IFFY JOYNER,1,DT,4
KALEB SIEKMEIER,1,DT,5
JEFFREY WILLIAMS,1,DT,6
ELIJAH MASON,1,DT,7
JORDAN JOHNSON,1,DT,8
ROJE STONA,0,DT,9
TURNER WASHINGTON,0,DT,10
KEVIN NEDRICK,0,DT,11
TANNER WATSON,0,DT,12
SAMUEL WELSH,0,DT,13
TOM YEZEK,0,DT,14
JACOB LEMMON,0,DT,15
ZORAWAR OTAL,0,DT,16
SEAN STAVINOHA,0,DT,17
JAMIR GIBSON,0,DT,18
ADAR SHEERE,0,DT,19
KEVIN SAKSON,0,DT,20
JACKSON MORRIS,0,DT,21
DJIMON GUMBS,0,DT,22
NATHAN REID,0,DT,23
MATTHEW APPEL,0,DT,
LOGAN BLOMQUIST,1,HT,1
TYLER MERKLEY,1,HT,2
KOSTAS ZALTOS,1,HT,3
BOBBY COLANTONIO,1,HT,4
MICHAEL BRYAN,1,HT,5
ALEXANDER TALLEY,1,HT,6
DECIO ANDRADE,1,HT,7
TREY KNIGHT,1,HT,8
JAYDEN WHITE,0,HT,9
JAKE NORRIS,0,HT,10
BAYLEY CAMPBELL,0,HT,11
EDWARD JEANS,0,HT,12
KADE MCCALL,0,HT,13
ALENCAR PEREIRA,0,HT,14
JAMES JOYCEY,0,HT,15
SEAN MOCKLER,0,HT,16
KHALIL BEDOUI,0,HT,17
KELLY COOK JR.,0,HT,18
KYLE BROWN,0,HT,19
IVAR MOISANDER,0,HT,20
ANTHONY BARMES,0,HT,21
EVAN STORK,0,HT,22
ROBERT WATSON,0,HT,23
NOAH WALKER,0,HT,
MARC MINICHELLO,1,JT,1
ETHAN DABBS,1,JT,2
TZURIEL PEDIGO,1,JT,3
TARAN TAYLOR,1,JT,4
CHINECHEREM PROSPER NNAMDI,1,JT,5
ARTHUR PETERSEN,1,JT,6
DJ JONSSON,1,JT,7
AHMED MAGOUR,1,JT,8
MARKIM FELIX,0,JT,9
TY HAMPTON,0,JT,10
EVAN NIEDROWSKI,0,JT,11
ELI GAUGHAN,0,JT,12
CORD NEAL,0,JT,13
JACKSON MORRIS,0,JT,14
ASHTON DOMINGUE,0,JT,15
MARK PORTER,0,JT,16
MARTEN GASPARINI,0,JT,17
BRADEN PRESSER,0,JT,18
ROAN ALLEN,0,JT,19
MICHAEL WHITTAKER,0,JT,20
JARED O'RILEY,0,JT,21
SCOTT CAMPBELL,0,JT,22
JAMES MCNANEY,0,JT,23
LUKE JACKSON,0,JT,24
